x,y,z
-0.3042059117,3.9200528094,26.4213206306
0.0957578125,3.8793531784,25.7222154529
0.4542159159,3.8481957164,25.0559811960
0.7762075717,3.8301621669,24.4200807342
1.0665878635,3.8279333586,23.8124021620
1.3299700061,3.8434985743,23.2312374863
1.5706911890,3.8783285053,22.6752508582
1.7927965620,3.9335165832,22.1434440446
2.0000368506,4.0098932391,21.6351239175
2.1958759277,4.1081171493,21.1498747218
2.3835053790,4.2287469615,20.6875365306
2.5658636831,4.3722964172,20.2481904400
2.7456581073,4.5392752324,19.8321505401
2.9253877969,4.7302175805,19.4399624072
3.1073668357,4.9456995366,19.0724077160
3.2937462752,5.1863463847,18.7305144980
3.4865342933,5.4528302482,18.4155725265
3.6876137455,5.7458580807,18.1291532536
3.8987564198,6.0661496378,17.8731336226
4.1216333279,6.4144046388,17.6497229050
4.3578203196,6.7912579452,17.4614914335
4.6087982586,7.1972212112,17.3113996935
4.8759469011,7.6326091713,17.2028256557
5.1605315166,8.0974485276,17.1395874637
5.4636811862,8.5913673717,17.1259575873
5.7863576252,9.1134633168,17.1666633101
6.1293133429,9.6621491546,17.2668669372
6.4930380018,10.2349760495,17.4321174356
6.8776920423,10.8284362585,17.6682634680
7.2830270430,11.4377503154,17.9813161539
7.7082930030,12.0566478013,18.3772487651
8.1521338430,12.6771563398,18.8617204701
8.6124740142,13.2894202705,19.4397128704
9.0864012140,13.8815782688,20.1150723048
9.5700529571,14.4397371652,20.8899590489
10.0585178543,14.9480858191,21.7642168352
10.5457657952,15.3891959607,22.7346937301
11.0246242433,15.7445534369,23.7945671461
11.4868197850,15.9953499152,24.9327497574
11.9231039760,16.1235393256,26.1334747997
12.3234793182,16.1131239356,27.3761724529
12.6775340010,15.9515849458,28.6357456617
12.9748825094,15.6313189145,29.8833267831
13.2056939910,15.1508966374,31.0875421385
13.3612732934,14.5159404678,32.2162332098
13.4346440064,13.7394333454,33.2384931583
13.4210725333,12.8413346894,34.1267960339
13.3184707683,11.8474791654,34.8589472644
13.1276243906,10.7878548356,35.4195867609
12.8522135899,9.6944682603,35.8010364634
12.4986198507,8.5990764998,36.0033911000
12.0755408527,7.5310801670,36.0338784429
11.5934596701,6.5158259691,35.9056311685
11.0640295742,5.5734768351,35.6360894437
10.4994397550,4.7184994352,35.2452781520
9.9118208400,3.9597198646,34.7541780882
9.3127351312,3.3008282806,34.1833516662
8.7127789691,2.7411800568,33.5519111806
8.1213073035,2.2767414434,32.8768496488
7.5462761458,1.9010517577,32.1727026101
6.9941884963,1.6061098487,31.4514783573
6.4701237416,1.3831296736,30.7227823287
5.9778287823,1.2231417517,29.9940640117
5.5198502032,1.1174406709,29.2709258808
5.0976895739,1.0578936921,28.5574486680
4.7119675152,1.0371329645,27.8565020205
4.3625858133,1.0486559896,27.1700222898
4.0488801817,1.0868576982,26.4992489752
3.7697590678,1.1470144287,25.8449181887
3.5238260820,1.2252363363,25.2074157888
3.3094852498,1.3184010433,24.5868951519
3.1250294268,1.4240780189,23.9833654828
2.9687129324,1.5404504324,23.3967565785
2.8388099077,1.6662390337,22.8269654757
2.7336600957,1.8006309659,22.2738896603
2.6517038002,1.9432151823,21.7374507124
2.5915077283,2.0939252669,21.2176114772
2.5517832979,2.2529898410,20.7143891716
2.5313988434,2.4208903164,20.2278662716
2.5293869747,2.5983254836,19.7582005718
2.5449481684,2.7861822331,19.3056354721
2.5774514961,2.9855116006,18.8705112930
2.6264332251,3.1975092401,18.4532782533
2.6915938691,3.4234993757,18.0545116248
2.7727941216,3.6649212240,17.6749295097
2.8700499599,3.9233168106,17.3154136402
2.9835270760,4.2003190197,16.9770335719
3.1135346606,4.4976385921,16.6610746095
3.2605184330,4.8170486258,16.3690697605
3.4250526718,5.1603649241,16.1028359351
3.6078308588,5.5294202799,15.8645144670
3.8096543774,5.9260304305,15.6566158514
4.0314185480,6.3519490870,15.4820682176
4.2740950593,6.8088089862,15.3442686000
4.5387096367,7.2980454276,15.2471354006
4.8263135755,7.8207984575,15.1951593784
5.1379474474,8.3777893439,15.1934492952
5.4745951042,8.9691670936,15.2477665117
5.8371258265,9.5943208307,15.3645406939
6.2262223374,10.2516549416,15.5508560174
6.6422924118,10.9383257234,15.8143941257
7.0853620376,11.6499415875,16.1633166267
7.5549487172,12.3802341138,16.6060665720
8.0499146810,13.1207148793,17.1510658269
8.5683016998,13.8603433838,17.8062845761
9.1071520529,14.5852446046,18.5786620303
9.6623241662,15.2785300179,19.4733656867
10.2283165255,15.9202915233,20.4928925651
10.7981194054,16.4878501227,21.6360415371
11.3631201830,16.9563451934,22.8968220145
11.9130933351,17.2997388718,24.2634087867
12.4363088781,17.4922760141,25.7172995918
12.9197909311,17.5103786507,27.2328696774
13.3497489395,17.3348652337,28.7775300454
13.7121865163,16.9532803578,30.3126655732
13.9936670769,16.3620226999,31.7954430203
14.1821844265,15.5679002672,33.1814377668
14.2680560729,14.5887561124,34.4278530974
14.2447353457,13.4529145437,35.4969394424
14.1094332164,12.1973902020,36.3591161666
13.8634569901,10.8650395289,36.9953005841
13.5122098918,9.5010514657,37.3980724163
13.0648459281,8.1493058007,37.5715208070
12.5336265646,6.8491336047,37.5298738840
11.9330673930,5.6328974777,37.2952253609
11.2789852070,4.5246127363,36.8947936350
10.5875559910,3.5396171110,36.3581574293
9.8744756532,2.6851231645,35.7148269254
9.1542853277,1.9613873267,34.9923725196
8.4398901768,1.3632059998,34.2151903795
7.7422716672,0.8814848716,33.4038684307
7.0703722818,0.5046954147,32.5750439404
6.4311195827,0.2201076719,31.7416139636
5.8295524102,0.0147536460,30.9131625547
5.2690136586,-0.1238768250,30.0964907577
4.7513791500,-0.2073771129,29.2961651772
4.2772986976,-0.2461578553,28.5150304604
3.8464320811,-0.2493277642,27.7546556639
3.4576685402,-0.2246789924,27.0157027766
3.1093231692,-0.1787419414,26.2982177660
2.7993071799,-0.1168821894,25.6018515452
